experiment, length, password, method, check_interval, np, elapsed_seconds
strong, 4, ZZZZ, main_seq, NA, 1, 159.721977
strong, 4, ZZZZ, mainMPI, NA, 1, 160.495069
strong, 4, ZZZZ, mainMPI_opt, 1000, 1, 161.463888
strong, 4, ZZZZ, mainMPI, NA, 2, 80.859942
strong, 4, ZZZZ, mainMPI_opt, 1000, 2, 91.244359
strong, 4, ZZZZ, mainMPI, NA, 4, 45.624556
strong, 4, ZZZZ, mainMPI_opt, 1000, 4, 45.705978
strong, 4, ZZZZ, mainMPI, NA, 8, 22.893046
strong, 4, ZZZZ, mainMPI_opt, 1000, 8, 22.993219
strong, 4, ZZZZ, mainMPI, NA, 16, 11.441788
strong, 4, ZZZZ, mainMPI_opt, 1000, 16, 12.066162
strong, 4, ZZZZ, mainMPI, NA, 32, 5.742403
strong, 4, ZZZZ, mainMPI_opt, 1000, 32, 5.790418
strong, 4, ZZZZ, mainMPI, NA, 62, 4.899717
strong, 4, ZZZZ, mainMPI_opt, 1000, 62, 6.525911
random, 4, 7Bhy, mainMPI, NA, 16, 11.421771
random, 4, 7Bhy, mainMPI_opt, 1000, 16, 11.108545
random, 4, mZ4x, mainMPI, NA, 16, 11.267239
random, 4, mZ4x, mainMPI_opt, 1000, 16, 10.815871
random, 4, 3mQa, mainMPI, NA, 16, 11.447687
random, 4, 3mQa, mainMPI_opt, 1000, 16, 10.052335
random, 4, 2xTk, mainMPI, NA, 16, 11.450217
random, 4, 2xTk, mainMPI_opt, 1000, 16, 7.913219
random, 4, Q5vN, mainMPI, NA, 16, 11.430705
random, 4, Q5vN, mainMPI_opt, 1000, 16, 5.215504
random, 4, 9fQ2, mainMPI, NA, 16, 11.456690
random, 4, 9fQ2, mainMPI_opt, 1000, 16, 4.616793
random, 4, Tp7Z, mainMPI, NA, 16, 11.453531
random, 4, Tp7Z, mainMPI_opt, 1000, 16, 3.595933
random, 4, L8pR, mainMPI, NA, 16, 11.479441
random, 4, L8pR, mainMPI_opt, 1000, 16, 2.062378
random, 4, Wc3J, mainMPI, NA, 16, 11.480004
random, 4, Wc3J, mainMPI_opt, 1000, 16, 0.401765
random, 4, Kx9F, mainMPI, NA, 16, 11.490019
random, 4, Kx9F, mainMPI_opt, 1000, 16, 0.299225
ci_sweep, 4, ZZZZ, mainMPI_opt, 10, 62, 333.866160
ci_sweep, 4, ZZZZ, mainMPI_opt, 25, 62, 119.902317
ci_sweep, 4, ZZZZ, mainMPI_opt, 50, 62, 68.224250
ci_sweep, 4, ZZZZ, mainMPI_opt, 100, 62, 36.733194
ci_sweep, 4, ZZZZ, mainMPI_opt, 500, 62, 6.180755
ci_sweep, 4, ZZZZ, mainMPI_opt, 1000, 62, 5.023789
ci_sweep, 4, ZZZZ, mainMPI_opt, 5000, 62, 3.639415
ci_sweep, 4, ZZZZ, mainMPI_opt, 10000, 62, 3.542718
