experiment,length,password,method,check_interval,np,elapsed_seconds
strong,4,ZZZZ,main_seq,NA,1,158.444345
strong,4,ZZZZ,mainMPI,NA,1,158.715018
strong,4,ZZZZ,mainMPI_opt,1000,1,159.198829
strong,4,ZZZZ,mainMPI,NA,2,90.546908
strong,4,ZZZZ,mainMPI_opt,1000,2,90.317860
strong,4,ZZZZ,mainMPI,NA,4,45.355681
strong,4,ZZZZ,mainMPI_opt,1000,4,45.639263
strong,4,ZZZZ,mainMPI,NA,8,21.450290
strong,4,ZZZZ,mainMPI_opt,1000,8,21.790226
strong,4,ZZZZ,mainMPI,NA,16,11.353684
strong,4,ZZZZ,mainMPI_opt,1000,16,11.426516
strong,4,ZZZZ,mainMPI,NA,32,5.695952
strong,4,ZZZZ,mainMPI_opt,1000,32,5.723129
strong,4,ZZZZ,mainMPI,NA,62,2.931222
strong,4,ZZZZ,mainMPI_opt,1000,62,2.995391
random,4,Kx9F,mainMPI,NA,16,11.335499
random,4,Kx9F,mainMPI_opt,1000,16,0.297136
random,4,3mQa,mainMPI,NA,16,11.318843
random,4,3mQa,mainMPI_opt,1000,16,9.968501
random,4,Tp7Z,mainMPI,NA,16,11.413842
random,4,Tp7Z,mainMPI_opt,1000,16,3.545295
ci_sweep,4,ZZZZ,mainMPI_opt,10,62,9.411174
ci_sweep,4,ZZZZ,mainMPI_opt,25,62,4.925990
ci_sweep,4,ZZZZ,mainMPI_opt,50,62,3.536548
ci_sweep,4,ZZZZ,mainMPI_opt,100,62,3.182543
ci_sweep,4,ZZZZ,mainMPI_opt,500,62,2.985664
ci_sweep,4,ZZZZ,mainMPI_opt,1000,62,3.012859
ci_sweep,4,ZZZZ,mainMPI_opt,5000,62,2.930223
ci_sweep,4,ZZZZ,mainMPI_opt,10000,62,2.929509
