experiment,length,password,method,check_interval,np,elapsed_seconds
random_np16,4,Kx9F,mainMPI,NA,16,11.335499
random_np16,4,Kx9F,mainMPI_opt,1000,16,0.297136
random_np16,4,3mQa,mainMPI,NA,16,11.318843
random_np16,4,3mQa,mainMPI_opt,1000,16,9.968501
random_np16,4,Tp7Z,mainMPI,NA,16,11.413842
random_np16,4,Tp7Z,mainMPI_opt,1000,16,3.545295
random_np16,4,9fQ2,mainMPI,NA,16,11.335639
random_np16,4,9fQ2,mainMPI_opt,1000,16,4.556186
random_np16,4,mZ4x,mainMPI,NA,16,11.371207
random_np16,4,mZ4x,mainMPI_opt,1000,16,10.668148
random_np16,4,L8pR,mainMPI,NA,16,11.363566
random_np16,4,L8pR,mainMPI_opt,1000,16,2.042457
random_np16,4,2xTk,mainMPI,NA,16,11.326863
random_np16,4,2xTk,mainMPI_opt,1000,16,7.581521
random_np16,4,Q5vN,mainMPI,NA,16,11.307337
random_np16,4,Q5vN,mainMPI_opt,1000,16,5.185590
random_np16,4,7Bhy,mainMPI,NA,16,11.368101
random_np16,4,7Bhy,mainMPI_opt,1000,16,10.997514
random_np16,4,Wc3J,mainMPI,NA,16,11.391495
random_np16,4,Wc3J,mainMPI_opt,1000,16,0.395864
random_np62,4,Kx9F,mainMPI,NA,62,2.970471
random_np62,4,Kx9F,mainMPI_opt,1000,62,1.609337
random_np62,4,3mQa,mainMPI,NA,62,2.922591
random_np62,4,3mQa,mainMPI_opt,1000,62,1.152184
random_np62,4,Tp7Z,mainMPI,NA,62,2.948492
random_np62,4,Tp7Z,mainMPI_opt,1000,62,1.231831
random_np62,4,9fQ2,mainMPI,NA,62,2.930635
random_np62,4,9fQ2,mainMPI_opt,1000,62,0.798892
random_np62,4,mZ4x,mainMPI,NA,62,2.916699
random_np62,4,mZ4x,mainMPI_opt,1000,62,2.923036
random_np62,4,L8pR,mainMPI,NA,62,2.921840
random_np62,4,L8pR,mainMPI_opt,1000,62,0.464276
random_np62,4,2xTk,mainMPI,NA,62,2.928808
random_np62,4,2xTk,mainMPI_opt,1000,62,1.653368
random_np62,4,Q5vN,mainMPI,NA,62,2.976972
random_np62,4,Q5vN,mainMPI_opt,1000,62,0.325249
random_np62,4,7Bhy,mainMPI,NA,62,2.919884
random_np62,4,7Bhy,mainMPI_opt,1000,62,1.833168
random_np62,4,Wc3J,mainMPI,NA,62,2.935698
random_np62,4,Wc3J,mainMPI_opt,1000,62,0.630809
random_np16_len3,3,a9F,mainMPI,NA,16,0.193312
random_np16_len3,3,a9F,mainMPI_opt,1000,16,0.127552
random_np16_len3,3,Q2x,mainMPI,NA,16,0.190350
random_np16_len3,3,Q2x,mainMPI_opt,1000,16,0.092239
random_np16_len3,3,mZ4,mainMPI,NA,16,0.185842
random_np16_len3,3,mZ4,mainMPI_opt,1000,16,0.179996
random_np16_len3,3,L8p,mainMPI,NA,16,0.193992
random_np16_len3,3,L8p,mainMPI_opt,1000,16,0.044192
random_np16_len3,3,2xT,mainMPI,NA,16,0.194554
random_np16_len3,3,2xT,mainMPI_opt,1000,16,0.147218
